Timestamp,Faculty or Major :,What print resolution do you want?,Type of Material?,What kind of strength / fill density do you need? Note that higher density means more material and higher Cost.,Color of the Print? (PLA or ABS),"Upload your .STL file(s). Dimensions should be in mm. Format must be ""YOURNAME_NUMBER OF COPIES TO PRINT_FILENAME"" (e.g. ""JOHNDOE_2_Turtle.stl""). Only send in .STL files.","Rush order? (2-3 days instead of 5-7 days, 10%+$5 fee)"
14/06/2018 14:59:47,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)",Wood Fill (Bamboo) (Special Request Only),(High Density and Strongest),I picked a special filament,"https://drive.google.com/open?id=1NqezR5c2MyXZHh-KgmjPNgGxQaYmQgx4, https://drive.google.com/open?id=1S3wMqjusCgQhUjvrmbpBwDBT3FDPTWTW, https://drive.google.com/open?id=13tZCcY235TPtk9t59r3ljiShk1K7yatw",
26/06/2018 14:46:13,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1U6X-uJ1YaNzsePbw9erSlfINuzmVMOts, https://drive.google.com/open?id=1EUb4Z1HL3f49LPDxXI5pE2xu0ZrUFSCm, https://drive.google.com/open?id=1CL-Iw5TXJqRhoRrqt1lzkAysuVsyKIFf",
26/06/2018 16:26:29,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1xgbwppZwz1XEV1enWRvy1WVoxXW4n2fv,
28/06/2018 12:25:34,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1MW3RaPbH1OCKjJw3g5T9iZYVr6UovYSS,
01/07/2018 18:05:02,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),White (ABS + PLA),"https://drive.google.com/open?id=1omYEyBLsS7-j63xA93HQrkeoxj-8qCWA, https://drive.google.com/open?id=1JjWI7B8Wd-4pH2oJbp_JjhVyERhVRP_x",
05/07/2018 18:16:39,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1gKaPm8ub91VJzhPB-YEG0H0wP4GHCEeF,
09/07/2018 05:21:23,Education,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),"https://drive.google.com/open?id=1cN3DiT-zs_MYI9EbTqpRlP9-TQ2scy8_, https://drive.google.com/open?id=1ws6Hvca0jzvid1iENgMYJ89cCVv7gQlK, https://drive.google.com/open?id=1k-gafIoHhsmEWzbrTrxOhgozF-6-CRNP, https://drive.google.com/open?id=1iq7cg5F5qyJGSGVYQhe9iGU5rv-aCYEv, https://drive.google.com/open?id=1LCwiij-2dl-4sMt_P1Vbp_zuBHrS3akD",
11/07/2018 12:20:55,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1rASSRxOd2SuE3jkxBaL7Eb6NUSKpY5aN,
17/07/2018 14:40:25,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1HLvfzn7IgAGX6_lyR0g4g283zRJRAX1i,
22/07/2018 18:00:05,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=1-oVZ_0Dikd7zXz1gTTuMLBafVwhfaGsb,
22/07/2018 23:57:38,Medicine,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Silver (Extra $1) (PLA Only),https://drive.google.com/open?id=168S2RPSGLIQEDh5WfxYGM4hetaT_Ry72,
22/07/2018 23:59:35,Medicine,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Silver (Extra $1) (PLA Only),https://drive.google.com/open?id=15DG2Evn7AX-Rr6yuCWHkzTqSTZKD7r2z,
30/07/2018 16:45:42,not an UBC student,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1gqQpx2H27E2QP_RmU6Dw3MqRpCv3xOUR,
02/08/2018 00:54:00,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=16HdCD3HgdJtYZE8XmobfrETVDxi8LpWE,
15/08/2018 10:52:53,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=15JUi4IdWAK9bJFXQoE01op7gUeHYJQK7,
15/08/2018 15:50:13,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1AYjRk42OH0v32FoWZJ9inZvWUlZkQ3GF,
15/08/2018 15:52:05,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1A_hQkxXOKk6Gr2tjZEbGvfdZx6G8MrRk,
16/08/2018 11:24:47,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",Can I get a quote for both high and standard density please,Black (ABS + PLA),https://drive.google.com/open?id=1Z5yJbe8MmFImncexlH10I016UO7PPaqc,
17/08/2018 10:52:33,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1lHRyXMUt1TvReNHZ9K2L_WHKZ_CuEEvS, https://drive.google.com/open?id=1_1Mcg7B7HKPwz4We_KIqU-wWyHjLxuFd",
22/08/2018 17:33:42,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),https://drive.google.com/open?id=1S-kSaGcMXvn-Tm238MoXt7aB-ZrZ6Cl2,
22/08/2018 17:46:02,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Silver (Extra $1) (PLA Only),https://drive.google.com/open?id=1dwV4CG-FhGmLB4zUoAgrxRD1WemhmtiQ,
26/08/2018 17:53:07,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1pDQY4cEqMjtRraroolL2lMr4Ya7jqhEi, https://drive.google.com/open?id=1gOS3wXrgJ2ZzIOLBio3R5l_7dz55z4fP, https://drive.google.com/open?id=13ZS4QWlPyU1f2cuyu-uOYXD8huO4D2Xp, https://drive.google.com/open?id=16l99dUERld08AVOvTDH8FBjl7SN_ZI6M",
06/09/2018 15:25:09,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=15flVDl3QHlyHqr0l2Ekb1NhAuly0fQGk,
09/09/2018 18:48:16,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1Gx0PmJe8Vku3gLoA4l3BkAIyh7z9U7_d, https://drive.google.com/open?id=18V5x_xG2uyDpjPklrVqvcTVXFfcCJj0i",
10/09/2018 19:15:02,Business,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1gZ3r5mmCKmslehEuUaj45IfRXOaCYbKb,
12/09/2018 19:19:59,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1BhZI-hx4I0ZE21tul2pfY3BjviPStFGx, https://drive.google.com/open?id=1XagzEVwzyzNP-bwGTPl45b2fE-N4TQ_5",
16/09/2018 19:23:19,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1gOElOUI7QRqwnyuKtYaDc7HbLhsybgNY, https://drive.google.com/open?id=1Amc92BSMofwKP018loc4Mhm4Lx2EpWHS",
18/09/2018 19:43:23,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1DoWtbE0qzeLHkQtCmyWv-CUJ7pGewIrE,
19/09/2018 09:42:16,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1NBv95f1BASZ2P-LW6P_0RN_cSczHS7r-,
30/09/2018 15:29:05,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Black (ABS + PLA),https://drive.google.com/open?id=1P0LIDhrfdGXGjlZ3bZJFBrfF_oaf9M_x,
01/10/2018 21:24:18,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=16qTNsQuUd6451zkh5SeAAfroGgv_OdMo,
07/10/2018 12:19:26,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Silver (Extra $1) (PLA Only),https://drive.google.com/open?id=1PQU3o-gqKOir0h2PO1iq7y3mBVuDU6Ie,
19/10/2018 10:00:04,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=1MjxaU74gJKCebOOxPH4gfF4LcRJr8p5Y,
19/10/2018 11:58:12,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=11t57_7KSVlKG9Oc7h-2OlmYJQrOo7c-P,
20/10/2018 19:07:36,Engineering,Standard - 200 Microns,PLA+ / APLA+ Engineering (Special Request Only),(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=10WvwB7J8AzxxPBJXBFSU5mPIHr4c3YGD, https://drive.google.com/open?id=1EjGzNk8z1dxK5xKsZdH2-bwdXrXX6MAT",
26/10/2018 09:15:13,Science,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=1HY0a3b-lay7r1ZgA5kBg5O0RfXAhEMQV,
26/10/2018 12:07:20,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Light Green (PLA Only),https://drive.google.com/open?id=1EDpfXGa_bAsGc38lmp0oO36RH-_pjK2k,
26/10/2018 13:46:45,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1TD5J_y9VVXIAEyv6lWkaCAKX0ChqSCOj,
29/10/2018 22:38:13,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Silver (Extra $1) (PLA Only),"https://drive.google.com/open?id=15eQGjHz8CrrVQdJymMR7jX2usddMGpc1, https://drive.google.com/open?id=1pCwmKVwnX_oQgf75p-s-1sAbxunQk1r2, https://drive.google.com/open?id=1958FbaXhJcrWPxXfEz4x8JalYz4MHNXp",
31/10/2018 13:20:02,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",100% fill,White (ABS + PLA),"https://drive.google.com/open?id=19i0W3k5EO-steSa6J-b1t-nkn1mTU93P, https://drive.google.com/open?id=14rDV6F6rlFH9Tn57Xp0VD8hiQKqM4kZm",
01/11/2018 20:12:51,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",100% fill for the specimen file and standard density for the bracket,Light Green (PLA Only),"https://drive.google.com/open?id=1QPXFolpf4Nh6JwN9THR8TXi7sZrS4OlW, https://drive.google.com/open?id=1r4uoaHyEzVLOdjxr7PWHZut7U8imWXSG",
02/11/2018 16:17:47,Science,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1i9ecYqcPLiDTUufua6RmGvDJZgTICuS3, https://drive.google.com/open?id=1Nh6rAc2VCuERgxB0d9t7sNM2h_Tu73uM",
04/11/2018 00:40:21,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","Ugly Flex (Small Prints Only) ($0.50, Strong, Flexible and around 80% rubber elasticity - Red Color)",(High Density and Strongest),Red (PLA Only),https://drive.google.com/open?id=10Ckkb5qzXpxrMe1nL-LgKwKrCEwaYjcR,
04/11/2018 00:42:00,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Dark Blue (PLA Only),https://drive.google.com/open?id=1XPBJ-nFMydx761BSt-6-ww-jhOYxrl53,
04/11/2018 21:33:06,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Silver (Extra $1) (PLA Only),"https://drive.google.com/open?id=1cTYC9K1FmleaoNw4Xn7EwMS_bLrD3xeh, https://drive.google.com/open?id=1L9bJKdSmBXxgedRZJl6Xb4k3uf42cuF7",
05/11/2018 12:46:04,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1ph-fDL7rsPQwBRVm4PJM4L3Nt6ybgRb4,
11/11/2018 21:08:28,Science,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1aQbj2dQVf_qq0dDCjy3guDiLfa1bik3s, https://drive.google.com/open?id=1ckJMQ7FGzMvwju1Jb7peNKW8TxQXyF9B",
16/11/2018 15:12:44,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=16iztHUknvJgOf8HhIdFwdzUe5lh_I94o,
20/11/2018 01:09:13,Science,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Gold (Extra $1) (PLA Only),"https://drive.google.com/open?id=103cg5Taf6W2lwQmt0sVQyau_j5iZ0huW, https://drive.google.com/open?id=1BjejK2t7qoTLBY5QFbYkdMA92sqa2zar",
20/11/2018 11:46:46,Business,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Gold (Extra $1) (PLA Only),https://drive.google.com/open?id=1fIGqX4FvZ8ajQcyLp85ALRLi_Pne9Q0T,
21/11/2018 13:42:08,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Gold (Extra $1) (PLA Only),https://drive.google.com/open?id=18DbVyj-YtWSZzQBY2x8wBKXtBFIKFoJI,
26/11/2018 22:08:36,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Red (PLA Only),https://drive.google.com/open?id=1nOPw2un6dstrHXlomNOYcudkJYRhh-rj,
29/11/2018 18:46:51,Architecture and Landscape Architecture,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1s2izKjZbmnG_iqoEKVEiPXU9Dh6iTSey,
03/12/2018 12:25:27,Engineering,"Whatever you think would be best for making a silicone mould using it?  Extra cost is fine. (if you don't know, then standard)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Red (PLA Only),https://drive.google.com/open?id=1HcpZvztyB4EEoIryMFLaM6EjeJE3B9DJ,
08/12/2018 00:17:15,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1R0LSv5xMxMjO3IAELfRaiBPHZymDTVCy,
01/01/2019 23:20:58,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1OAe5w2cwRH6yqdhR34s24RkGDodnVe3n,
07/01/2019 10:47:25,Engineering,Standard - 200 Microns,"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1uNBRg7CSW7anNZztHaQwC7-6s42_UdFk,
07/01/2019 12:20:20,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Black (ABS + PLA),"https://drive.google.com/open?id=1m-KwFo6iQXIqY-9DnqsQCs4kg__qards, https://drive.google.com/open?id=1CYrYT71t6POaYBZvff_Yqd6JQ06XJRcE, https://drive.google.com/open?id=1srjv_Z60pq6sP87SwFAwpu2ceptSPgwh",
10/01/2019 13:27:01,Rehabilitation Sciences,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Light Green (PLA Only),https://drive.google.com/open?id=1Wf-zgHoHkwRTXIh-PwRLX7DAW32CgT-E,
11/01/2019 14:30:20,University Counsel,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=192nBZVKhhQxI2zJuPGKvwWQRkJPqp7If,
12/01/2019 12:19:14,Engineering,Standard - 200 Microns,"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1D7NOdGuVJIxBsUlbcbS7i8OTu8NjLijR, https://drive.google.com/open?id=1Yw0nxHc_XR61yCRM4E2sLJUfdj_QC59V",
12/01/2019 14:08:18,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1h967q4U75RhkluzTU36-p8hj5RNYCcRX,
13/01/2019 16:46:31,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Dark Blue (PLA Only),https://drive.google.com/open?id=1lCnxfRRMuDoSDkQeQS9tZuzt-NYCtV8U,
14/01/2019 21:48:40,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Light Green (PLA Only),"https://drive.google.com/open?id=1EVy1TJKuP2JzyiGZ76Lnb-Z9LO8Z_fVY, https://drive.google.com/open?id=1_m-ydB_i_OafiODW29lzdWhCf1zp2wsp, https://drive.google.com/open?id=1owBBHhV-IQflY-ELEHlC3ayItvV_BFTM, https://drive.google.com/open?id=1WDMsMun0sIj_jThOShIBi15AesLaDdoB, https://drive.google.com/open?id=1aybyR1rrSuiZFwC-7H-OAFmctMCTfkhG",
16/01/2019 16:41:54,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1Jue2QuY6s1QvGivEhkdhEJNJQepfAgsK, https://drive.google.com/open?id=14Dp28VkAAEkAWKdIAVS3-7OOj9fdbGNJ, https://drive.google.com/open?id=1fBK5mng3Y3x9aTtsC_UxRHtnHGp5Mjg9, https://drive.google.com/open?id=1mK3OdJJQwbD24NKG04KoTqjVUCh9Qg7M",
19/01/2019 18:13:05,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1nPNOl6Xg2x3iFzCvJYNwFY7kP_BoMnQR, https://drive.google.com/open?id=1W5ibiv8gpN2FF9evswpyL-HeeIMwQlmU, https://drive.google.com/open?id=1n03eLQ1vkc36y5LB_obSwemEN8QlAqtj, https://drive.google.com/open?id=1iCKYhlTgHgMfdUHXi3g1EpziIUSbFVmy",
20/01/2019 14:43:07,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Dark Blue (PLA Only),"https://drive.google.com/open?id=1QurhyuF5FRYwJuOTJwuuGzoTTMH3DvBQ, https://drive.google.com/open?id=15C-pupA6x_ZkO6QVAxHy4vRTJb4IQa97",
22/01/2019 16:27:57,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1xKbxnnMTtSHUkPZGzQf8fBpLtsAISGK1,
24/01/2019 16:49:22,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Red (PLA Only),https://drive.google.com/open?id=1wM8IfXFIYTPF1aTG7miFjkJuFu10-CHB,
27/01/2019 20:56:55,Engineering,Standard - 200 Microns,"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1VRF_qDKLz9-vTKoIVfBev3eIGJXZyeIm,
29/01/2019 07:44:05,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1o6txVeC74EnqJaBnrL1t9oW_lorQ2MIa, https://drive.google.com/open?id=1vmj10G0j8y4-fYN2gEnGf2ua3B2oqhn-, https://drive.google.com/open?id=140BN0UtBNmaLExkn3AoR95oc7PLEwfK1, https://drive.google.com/open?id=1NmLoL3nHventIMVfxjJQgVVM1bmUPY7u, https://drive.google.com/open?id=1Tzi9EYr6MwsFEF-V7KCYlgQzCmzo1UE9",
29/01/2019 08:55:35,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1CYyqrnJdd4Zsxb8TwP5ZhOX0xO5tMi7t, https://drive.google.com/open?id=1Z6UXsGgaJ5JZrEimALtTvWb1qDu9Yogm, https://drive.google.com/open?id=1ByaATKJ_BufiK-R8UzEnvYkonB4GvMuE, https://drive.google.com/open?id=1nu99ypScJZ5JJ6qg5LMF4t7ZTKa34EOT, https://drive.google.com/open?id=1ivYmkzDmP3q85ST4Vjsyq1HKSy0wSeqL",
29/01/2019 08:57:27,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=19FfJYnrSe5NUwslvjl4XTCg8AEQbzCRT, https://drive.google.com/open?id=1dr5smMV1V1bKQ3C6LzM5OSIH6MucdmCv",
29/01/2019 08:58:57,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1G40cP644pQyU1zs-Fx62vpEXTXWYiU6Z, https://drive.google.com/open?id=1MZ8IG1itRdYGM_8jOJHUG1e7RZj5llcq",
01/02/2019 11:28:26,Engineering,Standard - 200 Microns,"ABS ($0.20/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1jsWyJhBsIqLq34rLABEnIeT62UGZQPl4,
01/02/2019 18:18:11,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Red (PLA Only),https://drive.google.com/open?id=1TGgWyySIGfyNCptdndGowaqtPE4M1FM5,
